Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Abingdon;AMS Neave;12;Berkshire;89429;34771;21028;18458;0;0;0
Accrington;A Davidson;4;Lancashire;50397;15018;20050;7191;0;0;0
Acton;G Young;11;Ealing;56365;18492;17041;7160;0;0;0
Aldershot;JMG Critchley;12;Hampshire;79761;29401;15492;18743;0;0;1148
Aldridge-Brownhills;G Edge;7;Black Country;61028;19276;19642;11883;0;0;0
Altrincham and Sale;AP Barber;4;Central Manchester;72650;26434;15550;17738;0;0;0
Arundel;RM Marshall;12;West Sussex;82899;37655;10597;17712;0;0;0
Ashfield;DI Marquand;8;Nottinghamshire;74064;14206;35994;10534;0;0;0
Ashford;WF Deedes;12;Kent;57875;21773;12077;13314;0;0;0
Ashton-under-Lyne;RE Sheldon;4;Eastern Manchester;59881;14718;23019;9837;0;0;0
Aylesbury;THF Raison;12;Buckinghamshire;60070;25764;14463;14581;0;0;0
Banbury;HN Marten;12;Oxfordshire;66939;25167;18289;11947;0;0;0
Barking;J Richardson;11;Barking and Dagenham;49617;7154;22846;8012;0;0;0
Barkston Ash;MJH Alison;5;North Yorkshire;83068;33979;20782;14618;0;0;0
Barnsley;R Mason;5;South Yorkshire;75822;15969;40595;0;0;0;0
Barrow-in-Furness;AE Booth;4;Cumbria;54038;14818;19925;8470;0;0;0
Basildon;E Moonman;9;Essex;90357;22832;33499;17794;0;0;0
Basingstoke;DB Mitchell;12;Hampshire;85985;30886;23089;17598;0;0;0
Bassetlaw;JW Ashton;8;Nottinghamshire;71114;22490;33724;0;0;0;0
Bath;EJ Brown;10;Bristol Area;61762;20920;14296;15738;0;0;322
Batley and Morley;ADD Broughton;5;West Yorkshire;61505;14404;21495;11470;0;0;828
Battersea North;DPT Jay;11;Wandsworth;44502;8080;18503;4683;0;0;208
Battersea South;EG Perry;11;Wandsworth;46448;12778;14431;5919;0;0;787
Beaconsfield;RM Bell;12;Buckinghamshire;67939;26040;11691;14792;0;0;0
Bebington and Ellesmere Port;A Bates;4;Cheshire;85804;27388;31850;12372;0;0;0
Beckenham;PC Goodhart;11;Bromley;58969;22976;11018;12821;0;0;0
Bedford;THH Skeet;9;Bedfordshire;73465;26082;19861;15405;0;0;0
Bedfordshire Mid;SLE Hastings;9;Bedfordshire;74517;28973;17862;17151;0;0;0
Bedfordshire South;WD Madel;9;Bedfordshire;63700;21380;15847;16622;0;0;0
Beeston;J Lester;8;Nottinghamshire;73635;26487;23943;12091;0;0;0
Belper;RL MacFarquhar;8;Derbyshire;70637;28577;30611;0;0;0;0
Bermondsey;RJ Mellish;11;Southwark;54904;6126;24847;3751;0;0;1485
Berwick-upon-Tweed;AJ Beith;3;Northumberland;41515;15289;4326;15732;0;0;0
Bethnal Green and Bow;I Mikardo;11;Tower Hamlets;53410;4787;21371;6417;0;0;0
Bexleyheath;CD Townsend;11;Bexley;50558;18541;14675;9575;0;0;0
Birkenhead;E Dell;4;Merseyside;59887;13702;20696;11410;0;0;0
Birmingham Edgbaston;JCJ Knight;7;Birmingham;69631;25914;19994;0;0;0;2391
Birmingham Erdington;J Silverman;7;Birmingham;65231;16050;22978;6991;0;0;1145
Birmingham Hall Green;RE Eyre;7;Birmingham;66524;27280;21036;0;0;0;0
Birmingham Handsworth;JMH Lee;7;Birmingham;45399;12667;14290;5566;0;0;334
Birmingham Ladywood;AB Walden;7;Birmingham;40155;6164;15126;3753;0;0;751
Birmingham Northfield;RJ Carter;7;Birmingham;76900;23175;31704;0;0;0;1605
Birmingham Perry Barr;JW Rooker;7;Birmingham;52116;15937;17960;6044;0;0;853
Birmingham Selly Oak;HE Gurden;7;Birmingham;62357;19705;16823;9718;0;0;0
Birmingham Small Heath;DH Howell;7;Birmingham;51038;6941;19319;7441;0;0;0
Birmingham Sparkbrook;RSG Hattersley;7;Birmingham;49344;12534;19939;0;0;0;0
Birmingham Stechford;RH Jenkins;7;Birmingham;62005;13472;23704;7221;0;0;280
Birmingham Yardley;S Tierney;7;Birmingham;58596;18633;20580;6912;0;0;0
Bishop Auckland;HJ Boyden;3;Durham;71894;19226;27101;10044;0;0;0
Blaby;N Lawson;8;Leicestershire;64534;26892;13749;14594;0;0;0
Blackburn;BA Castle;4;Lancashire;53767;14040;20340;5891;0;0;1778
Blackpool North;NA Miscampbell;4;Lancashire;59276;23942;15788;0;0;0;3720
Blackpool South;PAR Blaker;4;Lancashire;57556;20107;11739;12016;0;0;229
Blaydon;RE Woof;3;Newcastle area;56485;15705;22279;0;0;0;0
