Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Aldershot;G. Howarth;12;Hampshire;76189;23119;13057;16498;0;0;1477
Aldridge-Brownhills;R. Shepherd;7;Black Country;62441;21856;19330;5184;0;0;0
Altrincham and Sale West;G. Brady;4;Central Manchester;70625;22348;20843;6535;0;0;2056
Amber Valley;Ms J. Mallaber;8;Derbyshire;72005;18330;29943;4219;0;0;2283
Arundel and South Downs;H. Flight;12;West Sussex;67641;27251;9376;13216;0;0;1494
Ashfield;G. Hoon;8;Nottinghamshire;72269;10251;32979;4882;0;0;2491
Ashford;D. Green;12;Kent;74149;22899;17544;10901;0;0;3950
Ashton under Lyne;Rt.Hon. R. Sheldon;4;Eastern Manchester;72206;8954;31919;4603;0;0;1804
Aylesbury;D. Lidington;12;Buckinghamshire;79047;25426;12759;17007;0;0;2362
Banbury;A. Baldry;12;Oxfordshire;77456;25076;20339;9761;0;0;3270
Barking;Mrs M. Hodge;11;Barking and Dagenham;53682;5802;21698;3128;0;0;2336
Barnsley Central;E. Illsley;5;South Yorkshire;61133;3589;28090;3481;0;0;1325
Barnsley East and Mexborough;J. Ennis;5;South Yorkshire;67840;4936;31699;4489;0;0;2211
Barnsley West and Penistone;M. Clapham;5;South Yorkshire;64894;7750;25017;7613;0;0;1828
Barrow and Furness;J. Hutton;4;Cumbria;66960;13133;27630;4264;0;0;3203
Basildon;Ms A. Smith;9;Essex;73989;16366;29646;4608;0;0;2462
Basingstoke;A. Hunter;12;Hampshire;77035;24751;22354;9714;0;0;310
Bassetlaw;J. Ashton;8;Nottinghamshire;68101;11838;29298;4950;0;0;1838
Bath;D. Foster;10;Bristol Area;70815;16850;8828;26169;0;0;2142
Batley and Spen;M. Wood;5;West Yorkshire;64209;17072;23213;4133;0;0;2547
Battersea;M. Linton;11;Wandsworth;66928;18687;24047;3482;0;0;1181
Beaconsfield;D. Grieve;12;Buckinghamshire;68959;24709;10063;10722;0;0;4707
Beckenham;P. Merchant;11;Bromley;72807;23084;18131;9858;0;0;3277
Bedford;P. Hall;9;Bedfordshire;66560;16474;24774;6044;0;0;1652
Bedfordshire Mid;J. Sayeed;9;Bedfordshire;66979;24176;17086;8823;0;0;2431
Bedfordshire North East;Rt.Hon. Sir N. Lyell;9;Bedfordshire;64743;22311;16428;7179;0;0;4470
Bedfordshire South West;Sir D. Madel;9;Bedfordshire;69781;21534;21402;7559;0;0;2369
Berwick-upon-Tweed;A. Beith;3;Northumberland;56428;10056;10965;19007;0;0;1775
Bethnal Green and Bow;Ms O. King;11;Tower Hamlets;73008;9412;20697;5361;0;0;9212
Beverley and Holderness;J. Cran;5;Humber area;71916;21629;20818;9689;0;0;806
Bexhill and Battle;C. Wardle;12;East Sussex;65584;23570;8866;12470;0;0;4088
Bexleyheath and Crayford;N. Beard;11;Bexley;63334;18527;21942;5391;0;0;2363
Billericay;Mrs T. Gorman;9;Essex;76550;22033;20677;8763;0;0;3947
Birkenhead;F. Field;4;Merseyside;59782;5982;27825;3548;0;0;1968
Birmingham Edgbaston;Mrs G. Stuart;7;Birmingham;70204;18712;23554;4691;0;0;1508
Birmingham Erdington;R. Corbett;7;Birmingham;66380;11107;23764;4112;0;0;1424
Birmingham Hall Green;S. McCabe;7;Birmingham;58767;13952;22372;4034;0;0;1461
Birmingham Hodge Hill;T. Davis;7;Birmingham;56066;8198;22398;2891;0;0;660
Birmingham Ladywood;Ms C. Short;7;Birmingham;70013;5052;28134;3020;0;0;1771
Birmingham Northfield;R. Burden;7;Birmingham;56842;10873;22316;4078;0;0;1580
