Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Aldershot;Gerald Howarth;12;Hampshire;78553;20572;9895;15238;0;0;2436
Aldridge-Brownhills;Richard Shepherd;7;Black Country;61761;18744;13237;4862;0;0;2713
Altrincham and Sale West;Graham Brady;4;Central Manchester;67247;20569;13410;9595;0;0;736
Amber Valley;Judy Mallaber;8;Derbyshire;75376;16318;21593;6225;0;0;3255
Arundel and South Downs;Nick Herbert;12;West Sussex;72535;24752;8482;13443;0;0;3013
Ashfield;Geoff Hoon;8;Nottinghamshire;73403;10220;20433;5829;0;0;5569
Ashford;Damian Green;12;Kent;79493;26651;13353;8308;0;0;3373
Ashton under Lyne;David Heyes;4;Eastern Manchester;72000;7259;21211;5108;0;0;3389
Aylesbury;David Lidington;12;Buckinghamshire;82428;25252;9540;14187;0;0;2479
Banbury;Tony Baldry;12;Oxfordshire;87168;26382;15585;10076;0;0;4166
Barking;Margaret Hodge;11;Barking and Dagenham;57658;4943;13826;3211;0;4916;2010
Barnsley Central;Eric Illsley;5;South Yorkshire;60592;3813;17478;4746;0;0;2578
Barnsley East and Mexborough;Jeff Ennis;5;South Yorkshire;66941;4853;20779;6654;0;0;740
Barnsley West and Penistone;Michael Clapham;5;South Yorkshire;66985;9058;20372;7422;0;0;0
Barrow and Furness;John Hutton;4;Cumbria;61883;11323;17360;6130;0;0;1680
Basildon;Angela Smith;9;Essex;73912;15578;18720;4473;0;2055;2315
Basingstoke;Maria Miller;12;Hampshire;76404;19955;15275;9952;0;0;2941
Bassetlaw;John Mann;8;Nottinghamshire;69389;12010;22847;5485;0;0;0
Bath;Don Foster;10;Bristol Area;66824;15463;6773;20101;0;2494;1005
Batley and Spen;Mike Wood;5;West Yorkshire;62948;12186;17974;5731;0;0;3317
Battersea;Martin Linton;11;Wandsworth;69548;16406;16569;6006;0;0;2068
Beaconsfield;Dominic Grieve;12;Buckinghamshire;68083;24126;8422;8873;0;0;2102
Beckenham;Jacqui Lait;11;Bromley;74738;22183;13782;10862;0;0;2137
Bedford;Patrick Hall;9;Bedfordshire;70629;14174;17557;9063;0;0;1278
Bedfordshire Mid;Nadine Dorries;9;Bedfordshire;73768;23345;11351;11990;0;0;3734
Bedfordshire North East;Alistair Burt;9;Bedfordshire;72757;24725;12474;10320;0;0;1986
Bedfordshire South West;Andrew Selous;9;Bedfordshire;74096;22114;13837;7723;0;0;2140
Berwick-upon-Tweed;Alan Beith;3;Northumberland;56944;10420;6618;19052;0;0;0
Bethnal Green and Bow;George Galloway;11;Tower Hamlets;82599;6244;14978;4928;0;15801;2056
Beverley and Holderness;Graham Stuart;5;Humber area;77460;20435;17854;9578;0;0;2336
Bexhill and Battle;Greg Barker;12;East Sussex;69676;24629;8457;11180;0;0;2568
Bexleyheath and Crayford;David Evennett;11;Bexley;65025;19722;15171;5144;0;0;2543
Billericay;John Baron;9;Essex;79537;25487;14281;6471;0;0;2619
Birkenhead;Frank Field;4;Merseyside;57097;4602;18059;5125;0;0;0
Birmingham Edgbaston;Gisela Stuart;7;Birmingham;64893;14116;16465;5185;0;0;1865
Birmingham Erdington;Sion Simon;7;Birmingham;64951;7235;16810;5027;0;0;2674
Birmingham Hall Green;Stephen McCabe;7;Birmingham;57222;10590;16304;6682;0;0;960
Birmingham Hodge Hill;Liam Byrne;7;Birmingham;53903;3768;13822;8373;0;0;2454
Birmingham Ladywood;Clare Short;7;Birmingham;70977;3515;17262;10461;0;0;2008
Birmingham Northfield;Richard Burden;7;Birmingham;54868;8965;15419;4171;0;0;2501
Birmingham Perry Barr;Khalid Mahmood;7;Birmingham;70126;6513;18269;10321;0;0;3808
Birmingham Selly Oak;Lynne Jones;7;Birmingham;70162;10375;19226;9591;0;0;2548
Birmingham Sparkbrook and Small Heath;Roger Godsiff;7;Birmingham;73721;3480;13787;7727;0;10498;2700
Birmingham Yardley;John Hemming;7;Birmingham;50975;2970;10976;13648;0;0;1837
Bishop Auckland;Helen Goodman;3;Durham;67534;8736;19065;9018;0;0;1309
Blaby;Andrew Robathan;8;Leicestershire;75444;22487;14614;9382;0;0;2905
Blackburn;Jack Straw;4;Lancashire;73494;9553;17562;8608;0;0;6082
Blackpool North and Fleetwood;Joan Humble;4;Lancashire;74975;15558;20620;5533;0;0;1579
Blackpool South;Gordon Marsden;4;Lancashire;73529;11453;19375;5552;0;0;1962
Blaydon;David Anderson;3;Newcastle area;62413;3129;20120;14785;0;0;1019
Blyth Valley;Ronnie Campbell;3;Northumberland;63640;4982;19659;11132;0;0;0
Bognor Regis and Littlehampton;Nick Gibb;12;West Sussex;65591;18183;10361;8927;0;0;3276
Bolsover;Dennis Skinner;8;Derbyshire;67568;6702;25217;6780;0;0;0
Bolton North East;David Crausby;4;Western Manchester;67394;12771;16874;6044;0;0;1222
Bolton South East;Brian Iddon;4;Western Manchester;63697;6491;18129;6047;0;0;1183
Bolton West;Ruth Kelly;4;Western Manchester;63836;15175;17239;7241;0;0;888
Bootle;Joe Benton;4;Merseyside;53700;1580;19345;2988;0;0;1709
Boston and Skegness;Mark Simmonds;8;Lincolnshire;71212;19329;13422;3649;0;4024;1445
Bosworth;David Tredinnick;8;Leicestershire;71596;20212;14893;10528;0;0;1866
Bournemouth East;Tobias Ellwood;10;Dorset;63426;16925;7191;11681;0;0;1802
Bournemouth West;Sir John Butterfill;10;Dorset;63658;14057;7824;10026;0;0;2017
Bracknell;Andrew Mackay;12;Berkshire;80657;25412;13376;10128;0;0;2225
Bradford North;Terry Rooney;5;West Yorkshire;64515;5569;14622;11111;0;0;3095
Bradford South;Gerry Sutcliffe;5;West Yorkshire;67576;8787;17954;5334;0;0;4530
Bradford West;Marsha Singh;5;West Yorkshire;67356;11544;14570;6620;0;0;3635
Braintree;Brooks Newmark;9;Essex;80458;23597;19704;7037;0;0;2717
Brent East;Sarah Teather;11;Brent;56227;3193;12052;14764;0;0;1059
Brent North;Barry Gardiner;11;Brent;60148;11779;17420;5672;0;0;811
Brent South;Dawn Butler;11;Brent;56508;4485;17501;6175;0;0;1603
Brentford and Isleworth;Ann Keen;11;Hounslow;84366;13918;18329;10477;0;0;3293
Brentwood and Ongar;Eric Pickles;9;Essex;64496;23609;6579;11997;0;0;1960
Bridgwater;Ian Liddell-Grainger;10;Somerset;75790;21240;12771;10940;0;0;3158
Brigg and Goole;Ian Cawsey;5;Humber area;67364;16363;19257;5690;0;0;1268
Brighton Kemptown;Desmond Turner;12;East Sussex;65985;13121;15858;6560;0;0;4180
Brighton Pavilion;David Lepper;12;East Sussex;68087;10397;15427;7171;0;9530;1014
Bristol East;Kerry McCarthy;10;Bristol Area;68096;8787;19152;10531;0;0;3250
Bristol North West;Doug Naysmith;10;Bristol Area;77703;13230;22192;9545;0;0;2525
Bristol South;Dawn Primarolo;10;Bristol Area;70835;8466;20778;9636;0;0;3448
Bristol West;Stephen Williams;10;Bristol Area;81382;15429;16859;21987;0;0;3121
Bromley and Chislehurst;Eric Forth;11;Bromley;71173;23583;10241;9368;0;0;2945
Bromsgrove;Julie Kirkbride;7;Hereford and Worcestershire;70762;24387;14307;7197;0;0;1919
Broxbourne;Charles Walker;9;Hertfordshire;68106;21878;10369;4973;0;0;3408
Broxtowe;Nick Palmer;8;Nottinghamshire;71121;18161;20457;7837;0;0;2351
Buckingham;John Bercow;12;Buckinghamshire;70265;27748;9619;9508;0;0;1432
Burnley;Kitty Ussher;4;Lancashire;65869;4206;14999;9221;0;5786;4771
Burton;Janet Dean;7;Staffordshire;78556;18280;19701;6236;0;0;3665
Bury North;David Chaytor;4;Western Manchester;72268;16204;19130;6514;0;0;2591
Bury South;Ivan Lewis;4;Western Manchester;66898;10829;19741;6968;0;0;1616
Bury St Edmunds;David Ruffley;9;Suffolk;79658;24332;14402;10423;0;0;3462
Calder Valley;Christine McCafferty;5;West Yorkshire;71325;17059;18426;9027;0;0;3258
Camberwell and Peckham;Harriet Harman;11;Southwark;55739;2841;18933;5450;0;0;1767
Cambridge;David Howarth;9;Cambridgeshire;70154;7193;14813;19152;0;0;2411
Cambridgeshire North East;Malcolm Moss;9;Cambridgeshire;85079;24181;15280;8693;0;0;2723
Cambridgeshire North West;Shailesh Vara;9;Cambridgeshire;79694;22504;12671;11232;0;0;2685
Cambridgeshire South;Andrew Lansley;9;Cambridgeshire;77022;23676;10189;15675;0;0;3108
Cambridgeshire South East;James Paice;9;Cambridgeshire;85901;26374;11936;17750;0;0;0
Cannock Chase;Tony Wright;7;Staffordshire;75194;12912;22139;5934;0;0;2170
Canterbury;Julian Brazier;12;Kent;72046;21113;13642;10059;0;0;2773
Carlisle;Eric Martlew;4;Cumbria;59508;11324;17019;5916;0;0;1135
Carshalton and Wallington;Tom Brake;11;Sutton;67844;16289;7396;17357;0;0;2019
Castle Point;Robert Spink;9;Essex;69480;22118;13917;4719;0;0;5048
Charnwood;Stephen Dorrell;8;Leicestershire;76274;23571;14762;9057;0;0;3226
Chatham and Aylesford;Jonathan Shaw;12;Kent;70515;16055;18387;5744;0;0;1894
Cheadle;Patsy Calton;4;Eastern Manchester;68123;19169;4169;23189;0;0;910
Chelmsford West;Simon Burns;9;Essex;82489;22946;13236;13326;0;0;1544
Cheltenham;Martin Horwood;10;Gloucestershire;71541;15819;4988;18122;0;2651;2041
Chesham and Amersham;Cheryl Gillan;12;Buckinghamshire;69217;25619;6610;11821;0;0;3047
Chester, City of;Christine Russell;4;Cheshire;69785;16543;17458;9818;0;0;1084
Chesterfield;Paul Holmes;8;Derbyshire;74007;3605;17830;20875;0;0;1811
Chichester;Andrew Tyrie;12;West Sussex;78645;25302;9632;14442;0;0;3025
Chingford and Woodford Green;Iain Duncan Smith;11;Waltham Forest;61386;20555;9914;6832;0;0;1347
Chipping Barnet;Theresa Villiers;11;Barnet;66143;19744;13784;6671;0;0;2182
Chorley;Lindsay Hoyle;4;Lancashire;78838;17506;25131;6932;0;0;0
Christchurch;Christopher Chope;10;Dorset;74109;28208;8051;12649;0;0;2657
Cities of London and Westminster;Mark Field;11;City of Westminster;72577;17260;9165;7306;0;0;2756
Cleethorpes;Shona McIsaac;5;Humber area;70746;16247;18889;6437;0;0;2016
Colchester;Bob Russell;9;Essex;79010;14868;8886;21145;0;0;0
Colne Valley;Kali Mountford;5;West Yorkshire;74121;16035;17536;11822;0;0;3527
Congleton;Lady Ann Winterton;4;Cheshire;72770;21189;12943;12550;0;0;0
Copeland;Jamie Reed;4;Cumbria;54206;10713;17033;3880;0;0;2131
Corby;Phil Hope;8;Northamptonshire;73000;19396;20913;6184;0;1278;756
Cornwall North;Dan Rogerson;10;Cornwall;86841;20766;6636;23842;0;3063;1675
Cornwall South East;Colin Breed;10;Cornwall;80704;18479;6069;24986;0;2693;1228
Cotswold;Geoffrey Clifton-Brown;10;Gloucestershire;71039;23326;8457;13638;0;0;1930
Coventry North East;Bob Ainsworth;7;Coventry and Solihull;70225;6956;21178;6123;0;0;2938
Coventry North West;Geoffrey Robinson;7;Coventry and Solihull;73180;11627;20942;7932;0;0;2937
Coventry South;Jim Cunningham;7;Coventry and Solihull;68884;12394;18649;7228;0;0;2414
Crawley;Laura Moffatt;12;West Sussex;71911;16374;16411;6503;0;0;2685
Crewe and Nantwich;Gwyneth Dunwoody;4;Cheshire;72472;14162;21240;8083;0;0;0
Crosby;Claire Curtis-Thomas;4;Merseyside;54255;11623;17463;6298;0;0;810
Croydon Central;Andrew Pelling;11;Croydon;80825;19974;19899;6384;0;0;2700
Croydon North;Malcolm Wicks;11;Croydon;83796;9667;23555;7560;0;0;3065
Croydon South;Richard Ottaway;11;Croydon;76872;25320;11792;10049;0;0;1736
Dagenham;Jon Cruddas;11;Barking and Dagenham;60141;7841;15446;3106;0;2870;1578
Darlington;Alan Milburn;3;Teesside;65281;10239;20643;7269;0;0;1237
