Name;MP;Area;County;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Aldershot;J M G Critchley;12;Hampshire;81754;36974;8552;17786;0;0;1038
Aldridge-Brownhills;R C S Shepherd;7;Black Country;63404;28431;17407;6503;0;0;0
Altrincham and Sale;Sir W Fergus Montgomery;4;Central Manchester;65897;29066;12275;11601;0;0;212
Amber Valley;Hon P A C L Oppenheim;8;Derbyshire;70155;27418;26706;5294;0;0;0
Arundel;Sir R Michael Marshall;12;West Sussex;79241;35405;8321;15542;0;0;1796
Ashfield;G W Hoon;8;Nottinghamshire;75075;19031;32018;7291;0;0;0
Ashford;H K Speed;12;Kent;71767;31031;11365;13672;0;0;773
Ashton-under-Lyne;Rt Hon R E Sheldon;4;Eastern Manchester;58701;13615;24550;4005;0;0;1196
Aylesbury;D R Lidington;12;Buckinghamshire;79208;36500;8517;17640;0;0;941
Banbury;A B Baldry;12;Oxfordshire;71840;32215;15495;10602;0;0;250
Barking;Ms J Richardson;11;Barking and Dagenham;50454;11956;18224;5133;0;0;0
Barnsley Central;E E Illsley;5;South Yorkshire;55373;7687;27048;4321;0;0;0
Barnsley East;T Patchett;5;South Yorkshire;54051;5569;30346;3399;0;0;0
Barnsley West and Penistone;M Clapham;5;South Yorkshire;63374;13461;27965;5610;0;0;970
Barrow and Furness;J M P Hutton;4;Cumbria;67764;22990;26568;6089;0;0;0
Basildon;D A A Amess;9;Essex;67585;24159;22679;6967;0;0;0
Basingstoke;A R F Hunter;12;Hampshire;82952;37521;16323;14119;0;0;714
Bassetlaw;J W Ashton;8;Nottinghamshire;58583;19064;29061;6340;0;0;0
Bath;D M E Foster;10;Bristol Area;63689;21950;4102;25718;0;0;801
Batley and Spen;Mrs E J Peacock;5;West Yorkshire;76417;27629;26221;6380;0;0;628
Battersea;J C Bowis;11;Wandsworth;68218;26390;21550;3659;0;0;682
Beaconsfield;T J Smith;12;Buckinghamshire;64268;33817;7163;10220;0;0;1679
Beckenham;P R G Merchant;11;Bromley;59440;26323;11038;8038;0;0;886
Bedfordshire Mid;Rt Hon Sir Nicholas W Lyell QC;9;Bedfordshire;81864;40230;15092;11957;0;0;1861
Bedfordshire North;Sir Trevor H H Skeet;9;Bedfordshire;73789;29920;18302;10014;0;0;821
Bedfordshire South West;W D Madel;9;Bedfordshire;79662;37498;16225;10988;0;0;928
Berkshire East;A J MacKay;12;Berkshire;90365;43898;14458;15218;0;0;0
Berwick-upon-Tweed;A J Beith;3;Northumberland;54919;14240;9933;19283;0;0;0
Bethnal Green and Stepney;Rt Hon P D Shore;11;Tower Hamlets;55675;6507;20350;8120;0;0;1466
Beverley;J D Cran;5;Humber area;81198;34503;12026;17986;0;0;199
Bexhill and Battle;C F Wardle;12;East Sussex;65850;31330;4883;15023;0;0;784
Bexleyheath;C D Townsend;11;Bexley;57684;25606;11520;10107;0;0;170
Billericay;Mrs T E Gorman;9;Essex;80388;37406;13880;14912;0;0;0
Birkenhead;F Field;4;Merseyside;62682;11485;29098;4417;0;0;733
Birmingham Edgbaston;Dame Jill C Knight DBE;7;Birmingham;53041;18529;14222;4419;0;0;643
Birmingham Erdington;R Corbett;7;Birmingham;52398;13814;18549;4398;0;0;0
Birmingham Hall Green;A R Hargreaves;7;Birmingham;60091;21649;17984;7342;0;0;0
Birmingham Hodge Hill;T A G Davis;7;Birmingham;57651;14827;21895;3740;0;0;370
Birmingham Ladywood;Ms C Short;7;Birmingham;56970;9604;24887;3068;0;0;0
Birmingham Northfield;R Burden;7;Birmingham;70533;23803;24433;5431;0;0;0
Birmingham Perry Barr;J W Rooker;7;Birmingham;72161;18917;27507;5261;0;0;0
Birmingham Selly Oak;Ms L M Jones PhD;7;Birmingham;72150;23370;25430;5679;0;0;797
