Name;MP;Area;County;Electorate;CON;LAB;LIB;Reform;Green;NAT;MIN;OTH
Aldershot;Alex Baker;12;Hampshire;78569;14081;19764;4052;8210;2155;0;0;282
Aldridge-Brownhills;Wendy Morton;7;Black Country;70871;15901;11607;1755;9903;1746;0;0;0
Altrincham and Sale West;Connor Rand;4;Central Manchester;74025;16624;20798;4727;4961;3699;0;643;0
Amber Valley;Linsey Farnsworth;8;Derbyshire;71546;10725;15746;1590;12192;2278;0;0;0
Arundel and South Downs;Andrew Griffith;12;West Sussex;77969;22001;9782;9867;7391;5515;0;0;184
Ashfield;Lee Anderson;8;Nottinghamshire;68929;3271;11554;619;17062;1100;0;6276;0
Ashford;Sojan Joseph;12;Kent;76212;13483;15262;2445;10141;4355;0;0;1289
Ashton-under-Lyne;Angela Rayner;4;Eastern Manchester;71002;4375;15575;1411;8784;2481;0;2835;0
Aylesbury;Laura Elizabeth Kyrke-Smith;12;Buckinghamshire;79169;14451;15081;10440;6746;2590;0;516;116
Banbury;Sean Woodcock;12;Oxfordshire;73193;15212;18468;4352;6284;2615;0;0;1247
Barking;Nesil Caliskan;11;Barking and Dagenham;79825;4294;16227;1015;5173;4988;0;3578;1202
Barnsley North;Dan Jarvis;5;South Yorkshire;78267;3083;18610;1336;10799;1805;0;0;1261
Barnsley South;Stephanie Peacock;5;South Yorkshire;75850;3247;16399;1172;11651;1521;0;0;1092
Barrow and Furness;Michelle Scrogham;4;Cumbria;74980;13213;18537;1680;7035;1466;0;0;290
Basildon and Billericay;Richard John Holden;9;Essex;76873;12905;12885;2292;11354;2123;0;0;565
Basildon South and East Thurrock;James McMurdock;9;Essex;72673;10159;12080;1071;12178;1718;0;0;2343
Basingstoke;Luke Murphy;12;Hampshire;78487;14438;20922;3176;6314;3568;0;0;571
Bassetlaw;Jo White;8;Nottinghamshire;78173;12708;18476;1996;9751;1947;0;0;0
Bath;Wera Hobhouse;10;Bristol area;69655;7659;8665;19883;3798;5952;0;230;1943
Battersea;Marsha de Cordova;11;Wandsworth;72767;10944;22983;4826;2825;4239;0;499;766
Beaconsfield;Joy Morrissey;12;Buckinghamshire;72751;18494;7216;13039;6055;1977;0;0;945
Beckenham and Penge;Liam Conlon;11;Bromley;76876;12848;25753;4436;5355;3830;0;0;0
Bedford;Mohammad Yasin;9;Bedfordshire;72478;8912;18342;4025;4548;2394;0;996;1442
Bedfordshire Mid;Blake Stephenson;9;Bedfordshire;76218;16912;15591;4068;8594;2584;0;0;1872
Bedfordshire North;Richard Fuller;9;Bedfordshire;78850;19981;14567;5553;8433;3027;0;0;0
Bermondsey and Old Southwark;Neil Coyle;11;Southwark;69473;2879;16857;9070;3397;4477;0;0;923
Bethnal Green and Stepney;Rushanara Ali;11;Tower Hamlets;81922;1920;15896;4777;1964;6391;0;14207;1492
Beverley and Holderness;Graham Stuart;5;Humber area;70559;15501;15377;3386;8198;1647;0;0;788
Bexhill and Battle;Kieran Mullan;12;East Sussex;72209;16186;13529;3473;7929;2972;0;0;3661
Bexleyheath and Crayford;Daniel Francis;11;Bexley;69470;13603;15717;2204;9861;2076;0;0;0
Bicester and Woodstock;Calum Alexander Miller;12;Oxfordshire;74350;14461;8236;19419;5408;2404;0;0;291
Birkenhead;Alison McGovern;4;Merseyside;78091;3238;22468;2292;6142;8670;0;0;324
Birmingham Edgbaston;Preet Kaur Gill;7;Birmingham;71787;8231;16599;2102;4363;2797;0;0;3336
Birmingham Erdington;Paulette Hamilton;7;Birmingham;77463;5402;14774;1128;7755;2452;0;0;2287
Birmingham Hall Green and Moseley;Tahir Ali;7;Birmingham;76936;3845;12798;4711;2305;3913;0;7142;6892
Birmingham Hodge Hill and Solihull North;Liam Byrne;7;Birmingham;77737;4634;10655;942;6456;2360;0;9089;0
Birmingham Ladywood;Shabana Mahmood;7;Birmingham;83693;2218;15558;1711;1477;3478;0;12137;0
Birmingham Northfield;Laurence Turner;7;Birmingham;74048;9540;14929;1791;7895;2809;0;0;688
Birmingham Perry Barr;Ayoub Khan;7;Birmingham;76350;4227;12796;1302;2446;2440;0;13303;962
Birmingham Selly Oak;Alistair Carns;7;Birmingham;75678;5834;17371;2324;5732;4320;0;0;2842
Birmingham Yardley;Jess Phillips;7;Birmingham;73203;3634;11275;3634;5061;1958;0;10582;0
Bishop Auckland;Sam Rushworth;3;Durham;70745;10364;17036;1373;9466;1857;0;0;331
Blackburn;Adnan Hussain;4;Lancashire;73259;3474;10386;689;4844;1416;0;10518;7560
Blackley and Middleton South;Graham Stringer;4;Central Manchester;72097;3073;16864;1592;6614;3197;0;0;0
Blackpool North and Fleetwood;Lorraine Beavers;4;Lancashire;73339;12097;16744;1318;9913;1269;0;0;469
Blackpool South;Chris Webb;4;Lancashire;77459;5504;16916;1041;10068;1207;0;0;444
Blaydon and Consett;Liz Twist;3;Durham;70487;6052;21160;2273;10007;2589;0;0;135
Blyth and Ashington;Ian Lavery;3;Northumberland;76263;6121;20030;1433;10857;1960;0;0;0
Bognor Regis and Littlehampton;Ali Griffiths;12;West Sussex;77565;15678;13913;5081;10262;2185;0;0;708
Bolsover;Natalie Fleet;8;Derbyshire;77207;10874;17197;1478;9131;3754;0;0;0
Bolton North East;Kirith Entwistle;4;Western Manchester;80011;9513;16166;1507;9428;4683;0;1463;599
Bolton South and Walkden;Yasmin Qureshi;4;Western Manchester;79622;4170;15093;1384;8350;2827;0;4673;433
Bolton West;Phil Brickell;4;Western Manchester;74933;12418;17363;1966;8517;4132;0;0;202
Bootle;Peter Dowd;4;Merseyside;73037;1674;26729;1301;4746;3904;0;526;0
Boston and Skegness;Richard Tice;8;Lincolnshire;75811;13510;7629;1375;15520;1506;0;0;915
Bournemouth East;Tom Hayes;10;Dorset;72354;12837;18316;3082;6268;2790;0;0;1617
Bournemouth West;Jessica Toale;10;Dorset;70259;11141;14365;4311;6647;2614;0;0;340
Bracknell;Peter Swallow;12;Berkshire;71656;13999;14783;4768;7445;2166;0;0;676
